ICO_Name,Enter_CMC,Max_CMC,Min_CMC,Ian_ICO_Grade,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Prototype,Team,Advisors,Idea,Community,Security,Type,Audience
Mobius,0.38,0.46,0.119,0.79,,0.16,310800000,0.35,39000000,Yes,2,2,3,14181,No,Infrastructure,Developers
Arcblock,,,,0.88,,0.5,83700000,0.45,29336121,Yes,2,2,2,18410,No,Infrastructure,Developers
Studio (Code Name),,,,0.75,0.50,0.25000000000,650000000,0.65,50000000,Yes,3,2,2,0,No,App,Investors
Apex,,,,0.71,,0.16,252821232,0.50,25000000,Yes,2,2,2,12946,No,App,Brands
Fusion,,,,0.85,0.50,2.06,28672000,0.35,38667981,Yes,3,1,3,2143,No,Blockchain,
Phantom AI,,,,0.64,,7.55234000000,2500000,0.25,18880850,Yes,3,0,1,206,No,App,Investors
Home Run (Code Name),,,,0.80,0.20,0.35094173330,300000000,0.30,105282520,Yes,3,2,3,4700,No,Infrastructure,
Kairos,,,,0.81,0.50,0.2,150000000,0.50,30000000,Yes,2,2,2,8700,No,Infrastructure,Identity
Trippki,,,,0.63,,0.33985530000,80000000,0.40,27188424,No,3,2,2,330,No,Infrastructure,Hotel
CANADA (Code Name) **,,,,0.97,0.40,0.30000000000,100000000,0.67,30000000,Yes,3,2,2,30685,No,Infrastructure,Payments
Elastos,44.01,75.82,35.68,0.60,,18.09,23100000,0.70,247225918,Yes,2,1,2,3748,No,Infrastructure,Developers
BelugaPay,,,,0.72,,1.88808500000,40000000,0.40,75523400,Yes,2,2,2,7472,No,App,Merchants
Dragon,,,,0.53,,2.51,360000000,0.72,905374519,Yes,1,1,3,1216,No,Currency,Casino
Spectre.AI,,,,0.68,,0.22,240000000,0.50,90628080,Yes,4,2,1,4443,No,App,Exchange
Eximchain,,,,0.90,,0.33,60000000,0.40,20000000,Yes,3,2,2,4417,No,Infrastructure,Supply Chain
Bee Token,,,,0.81,0.60,0.2,150000000,0.30,15000000,Yes,3,2,2,23447,No,App,Travel
Miami (Code Name),,,,0.67,,0.20000000000,150000000,0.60,30000000,Yes,1,2,2,1000,No,App,
Cypherium,,,,0.61,,0.75000000000,33000000,0.33,37761700,No,3,1,3,1844,No,Blockchain,
TON (Telegram),,,,0.71,,0.1,2200000000,0.44,2000000000,Yes,3,2,3,35000,No,Currency,Mainstream
OP,,,,0.71,,0.10416666670,336000000,0.34,35000000,Yes,2,2,2,2389,No,Infrastructure,
Zombie (Code Name),,,,0.82,0.20,0.05555555556,450000000,0.45,25000000,Yes,3,2,3,1708,No,Infrastructure,
Gems,,,,0.76,0.20,0.01250000000,2000000000,0.25,25000000,Yes,2,2,2,42257,No,Infrastructure,
Ontology,,,,0.75,,0.40000000000,500000000,0.50,200000000,Yes,3,2,3,15447,No,Infrastructure,
DADI,,,,0.71,0.20,0.5,60000000,0.60,29000000,Yes,1,0,2,20365,No,Infrastructure,Developers
Orchid Protocol,,,,0.78,,2.16666666700,60000000,0.60,130000000,Yes,3,2,2,310,No,Infrastructure,Internet
Wireline,,,,0.50,,0.1,200000000,0.07,20000000,No,3,2,2,843,,,
Metronome,,,,0.80,0.00,3.12500000000,8000000,0.80,25000000,Yes,2,2,3,6204,No,Currency,Retail
Nucleus Vision **,,,,0.80,0.25,0.01,4000000000,0.40,40000000,Yes,3,2,3,39193,No,App,Retail
Crypterium,2.04000000,3,0.62111,0.64,0.25,1.98,210000000,0.70,47000000,Yes,0,2,2,32216,No,App,Bank
Eli (Code Name),,,,0.80,,0.31785942760,118800000,0.36,37761700,Yes,3,2,2,980,No,App,
Ink Protocol,0.28037700,1.01,0.130053,0.72,,0.13,150000000,0.30,15000000,Yes,3,0,1,15592,No,Infrastructure,Mainstream
Cap...,,,,0.79,,0.25000000000,100000000,0.40,25000000,Yes,2,2,2,5000,No,App,
Earnable Token,,,,0.80,,0.00019083969,52400000000,0.52,10000000,Yes,3,2,2,6500,No,Currency,
Block Cat,,,,0.68,,0.88,4241716,0.79,5101031,Yes,2,1,2,1000,No,App,
District0x,0.01873700,0.482887,0.013456,0.86,,0.016,600000000,0.60,9500000,Yes,3,4,3,3500,No,Infrastructure,
0x,0.11172500,2.53,0.103962,0.85,,0.048,500000000,0.50,24000000,Yes,3,4,3,10964,No,Infrastructure,
CoinDash,0.05462100,0.286772,0.018846,0.75,,0.03000000000,487500000,0.49,12000000,Yes,3,2,2,3500,No,App,
Tierion,0.20521500,0.44517,0.042977,0.72,,0.071,350000000,0.35,25000000,Yes,2,3,2,2000,No,Infrastructure,
Lampix,0.08039000,0.789463,0.020331,0.65,,0.11,550000000,0.50,66000000,Yes,3,2,1,500,No,App,
Monetha,0.22619500,0.646666,0.047472,0.68,,0.16,249488000,0.62,71747230,Yes,2,2,1,5820,No,App,Payments
Aventus,4.52,11.09,1.21,0.72,,3.4,6000000,0.60,45314040,Yes,2,2,1,4487,No,Infrastructure,Ticketing
Enigma,0.6133,8.3,0.3158,0.90,,0.6,75000000,0.50,45000000,Yes,3,3,3,8021,No,Infrastructure,Trading
Propy,0.823919,6.15,0.237594,0.71,,1.093,35000000,0.35,17500000,Yes,2,2,1,2065,No,App,Real Estate
Kyber Network,1.85,6,0.886744,0.83,,0.38,137995600,0.61,151046800,Yes,3,3,3,18222,No,Infrastructure,Exchange
Black Moon,0.86309,2.67,0.349456,0.75,,1,27272727,0.50,30000000,Yes,3,2,1,2433,No,App,Exchange
Chain Link,0.156494,1.44,0.126297,0.80,,0.11,350000000,0.35,32000000,Yes,2,3,3,3230,No,Infrastructure,Developers
Tron,0.002051,0.300363,0.001091,0.51,,0.0019,55000000000,0.55,157171762,Yes,1,4,1,4000,No,Infrastructure,Entertainment
Icon,0.408919,12.64,0.397951,0.83,,0.11,400230000,0.50,113285100,Yes,4,2,3,5388,No,Blockchain,Networks
Kin,9.30E-05,0.001493,3.70E-05,0.64,,0.0001,1000000000000,0.10,125000000,Yes,3,2,1,1144,No,Currency,Messaging
Real,0.891969,2.54,0.186956,0.73,,1.32,10055817,0.51,11153126,Yes,3,2,1,1890,No,App,Real Estate
RChain,0.186912,3.14,0.023524,0.90,,0.20000000000,100600000,0.12,20120000,Yes,3,2,3,1176,No,Blockchain,Blockchain
Wanchain,,,,0.89,,0.34,107100000,0.51,91915411,Yes,3,3,3,7577,No,Blockchain,Banking
AirToken,0.016108,0.091153,0.00454,0.79,,0.02,1050000000,0.70,15000000,Yes,4,3,2,2516,No,App,Unbanked
Power Ledger,0.056271,2.01,0.045818,0.82,,0.0838,350000000,0.35,34146854,Yes,3,3,3,4158,No,Infrastructure,Power
Liquid Asset Token,0.2178,2,0.1097,0.72,,0.42,200000000,0.50,19000000,Yes,3,3,1,5635,Yes,App,Tokens
Red Pulse,0.060589,0.808058,0.029971,0.78,,0.0358,151692739,0.40,15000000,Yes,3,3,2,4488,No,App,Investing
Maecenas,0.341763,2.58,0.171073,0.75,,0.66,30000000,0.30,37538151,Yes,4,2,1,1000,,App,
Air Swap,0.351933,2.08,0.178633,0.71,,0.3,150000000,0.30,72139952,Yes,2,2,2,3895,No,Infrastructure,Exchange
Doc.ai,,,,0.74,,0.1,321900000,0.37,10873190,Yes,3,4,2,1305,No,App,A.I.
Streamr,0.072485,0.374587,0.057971,0.76,,0.0615,650000000,0.65,31665613,Yes,2,2,2,1863,No,Infrastructure,IoT
Request Network,0.058464,1.18,0.031107,0.61,,0.0672,500000000,0.50,75523400,Yes,2,1,2,21393,No,App,
Cobinhood,0.0404,2.84,0.036109,0.73,,0.0516,500000000,0.50,32368574,Yes,3,3,2,2925,No,App,Exchange
Unikoin / Unikrn,0.318346,2.47,0.046679,0.63,,0.253,200000000,0.20,84781652,Yes,2,3,1,16800,No,App,Esports
BlockV,0.018606,0.342364,0.012475,0.76,,0.0207,2000000000,0.35,40000000,Yes,4,5,2,2291,No,Infrastructure,
Ambrosus,0.19721,1.85,0.129922,0.76,,0.3,116780180,0.40,88196362,Yes,4,3,2,2654,No,Infrastructure,Food
Ether Party,0.029556,0.455393,0.020867,0.68,,0.1,800000000,0.80,62415559,Yes,3,2,1,2631,No,App,Smart Contracts
