Ian_ICO_Grade,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Team,Advisors,Idea,Community,Log_Max_CMC_x,Security_Yes,Prototype_Yes,Type_App,Type_Blockchain,Type_Currency,Type_Infrastructure,Audience_AI,Audience_Bank,Audience_Banking,Audience_Blockchain,Audience_Bounty,Audience_Cars,Audience_Content Creators,Audience_Credit,Audience_Cryptocurrency,Audience_Developers,Audience_Ecommerce,Audience_Energy,Audience_Entertainment,Audience_Esports,Audience_Exchange,Audience_Finance,Audience_Food,Audience_Funding,Audience_Gamers,Audience_Identity,Audience_Influencers,Audience_Investing,Audience_IoT,Audience_Lending,Audience_Mainstream,Audience_Market Place,Audience_Messaging,Audience_Musicians,Audience_Networks,Audience_Payments,Audience_Power,Audience_Real Estate,Audience_Remittance,Audience_Retail,Audience_Smart Contracts,Audience_Storage,Audience_Streaming,Audience_Students,Audience_Tasks,Audience_Telecom,Audience_Ticketing,Audience_Tokens,Audience_Traders,Audience_Trading,Audience_Unbanked,Audience_Voting
0.79,0.3,0.16,310800000,0.35,39000000,2,2,3,14181,1.05605267425,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,0.3,18.09,23100000,0.7,247225918,2,1,2,3748,1.43300281068,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,0.25,1.98,210000000,0.7,47000000,0,2,2,32216,0.415515443962,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0.3,0.13,150000000,0.3,15000000,3,0,1,15592,2.05017115938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,0.3,0.016,600000000,0.6,9500000,3,4,3,3500,3.40719394959,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,0.3,0.048,500000000,0.5,24000000,3,4,3,10964,3.96477357081,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0.3,0.03,487500000,0.49,12000000,3,2,2,3500,2.25749009329,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,0.3,0.071,350000000,0.35,25000000,2,3,2,2000,1.83577635464,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,0.3,0.11,550000000,0.5,66000000,3,2,1,500,1.9708726017,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.68,0.3,0.16,249488000,0.62,71747230,2,2,1,5820,1.39665611723,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
